"topic","course_name","level","price"
"Business Intelligence","Business Intelligence dengan Microsoft Power BI Desktop ","Basic",251201.00
"HR Analytics","Fundamental Analitik HR","Basic",252454.00
"HR Analytics","Fundamental Analitik HR","Basic",252454.00
"Business Intelligence","Data Warehouse dan Business Intelligence bagi para Manajer","Basic",252569.00
"Business Intelligence","Data Warehouse dan Business Intelligence bagi para Manajer","Basic",252569.00
"Recruiting","Perekrutan Social Media untuk tim HR Profesional ","Basic",252964.00
"Recruiting","Perekrutan Social Media untuk tim HR Profesional ","Basic",252964.00
"Business Development","Sales 101","Basic",253274.00
"Business Development","Sales 101","Basic",253274.00
"Customer Service","Bagaimana Cara Membuat Konsumenmu Terkesan?","Basic",254455.00
"Customer Service","Bagaimana Cara Membuat Konsumenmu Terkesan?","Basic",254455.00
"Communication Skills","Mahir dalam Seni Komunikasi","Basic",254839.00
"Communication Skills","Mahir dalam Seni Komunikasi","Basic",254839.00
"Data Cleaning","Membersihkan dan Memanipulasi Data menggunakan Excel ","Basic",255203.00
"Data Cleaning","Membersihkan dan Memanipulasi Data menggunakan Excel ","Basic",255203.00
"HR Analytics","Membuat Dashboard HR menggunakan Tableau Desktop","Basic",256071.00
"HR Analytics","Membuat Dashboard HR menggunakan Tableau Desktop","Basic",256071.00
"Storytelling","Yakinkan Audiensmu dengan Storytelling","Basic",260937.00
"Storytelling","Yakinkan Audiensmu dengan Storytelling","Basic",260937.00
"Data Warehouse","Konsep Data Warehouse basis Cloud","Basic",262108.00
"Data Warehouse","Konsep Data Warehouse basis Cloud","Basic",262108.00
"Data Cleaning","Data Cleaning dan Preprocessing dengan R","Basic",263697.00
"Data Cleaning","Data Cleaning dan Preprocessing dengan R","Basic",263697.00
"Presentation Skills","Yakinkan Audiensmu dengan Storytelling","Basic",264221.00
"Presentation Skills","Yakinkan Audiensmu dengan Storytelling","Basic",264221.00
"Presentation Skills","Kuasai Presentasi yang Menarik dengan PowerPoint","Basic",264600.00
"Presentation Skills","Kuasai Presentasi yang Menarik dengan PowerPoint","Basic",264600.00
"Financial Analysis","Kuasai Ms. Excel untuk Analisis Finansial ","Basic",266872.00
"Financial Analysis","Kuasai Ms. Excel untuk Analisis Finansial ","Basic",266872.00
"Storytelling","Storytelling untuk Bisnis","Basic",268230.00
"Storytelling","Storytelling untuk Bisnis","Basic",268230.00
"Business Analysis","Mempelajari Pentingnya Bisnis Analis di Teknik Informatika","Basic",273042.00
"Business Analysis","Mempelajari Pentingnya Bisnis Analis di Teknik Informatika","Basic",273042.00
"Communication Skills","Strategi Menghadapi Difficult People di Dunia Kerja","Basic",273379.00
"Communication Skills","Strategi Menghadapi Difficult People di Dunia Kerja","Basic",273379.00
"Financial Management","Pondasi Finansial untuk Pemula","Basic",273848.00
"Financial Management","Pondasi Finansial untuk Pemula","Basic",273848.00
"Personal Finance","Finance 101","Basic",279696.00
"Personal Finance","Finance 101","Basic",279696.00
"Instagram","Tingkatkan Promosi dan Pertumbuhan Instagram Bisnismu","Basic",283775.00
"Instagram","Tingkatkan Promosi dan Pertumbuhan Instagram Bisnismu","Basic",283775.00
"Personal Finance","Dasar-dasar Keuangan Pribadi","Basic",286675.00
"Personal Finance","Dasar-dasar Keuangan Pribadi","Basic",286675.00
"Social Media","Belajar Dasar-dasar Digital dan Social Media Marketing","Basic",288732.00
"Social Media","Belajar Dasar-dasar Digital dan Social Media Marketing","Basic",288732.00
"Copywriting","Fundamental Copywriting untuk Pemula","Basic",291729.00
"Copywriting","Fundamental Copywriting untuk Pemula","Basic",291729.00
"Investment Banking","Belajar Menganalisis Saham untuk Pemula","Basic",293666.00
"Investment Banking","Belajar Menganalisis Saham untuk Pemula","Basic",293666.00
"Excel","Kelas Perencanaan dan Prediksi Finansial menggunakan Excel","Basic",294236.00
"Excel","Kelas Perencanaan dan Prediksi Finansial menggunakan Excel","Basic",294236.00
"Google Drive","Optimalkan Penyimpanan, Akses, dan Pengiriman Data menggunakan Google Drive","Basic",294241.00
"Google Drive","Optimalkan Penyimpanan, Akses, dan Pengiriman Data menggunakan Google Drive","Basic",294241.00
"Google Data Studio","Membangun Dashboard di Google Data Studio","Basic",296615.00
"Google Data Studio","Membangun Dashboard di Google Data Studio","Basic",296615.00
"Internet","Apa itu Online dan Digital Marketing?","Basic",297747.00
"Internet","Apa itu Online dan Digital Marketing?","Basic",297747.00
"Microsoft PowerBI","Business Intelligence dengan Microsoft Power BI Desktop ","Basic",299473.00
"Microsoft PowerBI","Business Intelligence dengan Microsoft Power BI Desktop ","Basic",299473.00
"Google Data Studio","Menyusun Laporan dan Visualisasi Data menggunakan Google Data Studio","Basic",300275.00
"Google Data Studio","Menyusun Laporan dan Visualisasi Data menggunakan Google Data Studio","Basic",300275.00
"Google Sheets","Bekerja menggunakan Formula dan Functions di Google Sheet","Basic",302148.00
"Google Sheets","Bekerja menggunakan Formula dan Functions di Google Sheet","Basic",302148.00
"SEO","Kenali Strategi SEO & Social Media Marketing","Basic",305167.00
"SEO","Kenali Strategi SEO & Social Media Marketing","Basic",305167.00
"Google Sheets","Dasar-dasar Google Sheet untuk Pemula","Basic",306249.00
"Google Sheets","Dasar-dasar Google Sheet untuk Pemula","Basic",306249.00
"Google Data Studio","Google Data Studio untuk Analitik Data dan Business Intelligence","Basic",306279.00
"Google Data Studio","Google Data Studio untuk Analitik Data dan Business Intelligence","Basic",306279.00
"PowerPoint","Kuasai Desain Presentasi dengan PowerPoint","Basic",309797.00
"PowerPoint","Kuasai Desain Presentasi dengan PowerPoint","Basic",309797.00
"Excel","Kuasai Ms. Excel untuk Analisis Finansial ","Basic",311311.00
"Excel","Kuasai Ms. Excel untuk Analisis Finansial ","Basic",311311.00
"Content writing","Tingkatkan Kemampuan Content Writing untuk Web dan Marketing ","Basic",312108.00
"Content writing","Tingkatkan Kemampuan Content Writing untuk Web dan Marketing ","Basic",312108.00
"Financial Modeling","Fundamental dan Permodelan Analisis Finansial","Basic",312887.00
"Financial Modeling","Fundamental dan Permodelan Analisis Finansial","Basic",312887.00
"Social Media","Manajemen dan Marketing Social Media ","Basic",313526.00
"Social Media","Manajemen dan Marketing Social Media ","Basic",313526.00
"Marketing analytics","Menjadi Ahli Pemasaran dengan Data-Driven","Basic",316390.00
"Marketing analytics","Menjadi Ahli Pemasaran dengan Data-Driven","Basic",316390.00
"Banking","Belajar Menganalisis Proses Kredit pada Bank","Basic",316898.00
"Banking","Belajar Menganalisis Proses Kredit pada Bank","Basic",316898.00
"Banking","Bisnis Bank 101","Basic",327597.00
"Banking","Bisnis Bank 101","Basic",327597.00
"Tik Tok Marketing","Periklanan dan Pemasaran Tiktok 101","Basic",328015.00
"Tik Tok Marketing","Periklanan dan Pemasaran Tiktok 101","Basic",328015.00
"Social Media","Social Media Marketing","Basic",328520.00
"Social Media","Social Media Marketing","Basic",328520.00
"Copywriting","Fundamental Copywriting untuk Pemula","Basic",331790.00
"Copywriting","Fundamental Copywriting untuk Pemula","Basic",331790.00
"Content writing","Pelajari Dasar-dasar Content Writing","Basic",332363.00
"Content writing","Pelajari Dasar-dasar Content Writing","Basic",332363.00
"SQL","Dasar Pemrograman SQL","Basic",343595.00
"SQL","Dasar Pemrograman SQL","Basic",343595.00
"Social Media","Perkenalan Marketing dan Iklan Facebook ","Basic",350969.00
"Social Media","Perkenalan Marketing dan Iklan Facebook ","Basic",350969.00
"Instagram","Pemasaran di Instagram menggunakan Hashtags, Live, Stories, dan Ads","Basic",357180.00
"Instagram","Pemasaran di Instagram menggunakan Hashtags, Live, Stories, dan Ads","Basic",357180.00
"SEO","SEO 101","Basic",367606.00
"SEO","SEO 101","Basic",367606.00
"MySQL","Mempelajari Dasar MySQL untuk Business Intelligence","Basic",374303.00
"MySQL","Mempelajari Dasar MySQL untuk Business Intelligence","Basic",374303.00
"Tik Tok Marketing","Sukses Membuat Content Marketing untuk pengguna TikTok","Basic",375659.00
"Tik Tok Marketing","Sukses Membuat Content Marketing untuk pengguna TikTok","Basic",375659.00
"Google Analytic","Kuasai Google Analytics bagi Pemula","Basic",384020.00
"Google Analytic","Kuasai Google Analytics bagi Pemula","Basic",384020.00
"Data Analysis","Analisis Data dengan Excel","Basic",391076.00
"Data Analysis","Analisis Data dengan Excel","Basic",391076.00
"CSS","Dasar-dasar dalam Membuat Website Menggunakan CSS","Basic",392632.00
"CSS","Dasar-dasar dalam Membuat Website Menggunakan CSS","Basic",392632.00
"Instagram","Konversi Followersmu menjadi Paying Customers","Basic",404269.00
"Instagram","Konversi Followersmu menjadi Paying Customers","Basic",404269.00
"Content writing","Kiat menjadi penulis sukses Web Content","Basic",405165.00
"Content writing","Kiat menjadi penulis sukses Web Content","Basic",405165.00
"Google Analytic","Bagaimana Cara Meningkatkan Kinerja Online Marketing?","Basic",409402.00
"Google Analytic","Bagaimana Cara Meningkatkan Kinerja Online Marketing?","Basic",409402.00
"Keyword research","Kata kunci untuk Mencapai Halaman Pertama Google","Basic",411520.00
"Keyword research","Kata kunci untuk Mencapai Halaman Pertama Google","Basic",411520.00
"Database Management","Mulai Karirmu dalam Analisis Data dengan SQL ","Basic",412477.00
"Database Management","Mulai Karirmu dalam Analisis Data dengan SQL ","Basic",412477.00
"Database Management","Optimalisasi Bisnis Menggunakan Teknik Integrasi Data ","Basic",433769.00
"Database Management","Optimalisasi Bisnis Menggunakan Teknik Integrasi Data ","Basic",433769.00
"R Programming Language","Analisis Data menggunakan R","Basic",436642.00
"R Programming Language","Analisis Data menggunakan R","Basic",436642.00
"Facebook Ads","Perkenalan Marketing dan Iklan Facebook ","Basic",450498.00
"Facebook Ads","Perkenalan Marketing dan Iklan Facebook ","Basic",450498.00
"Python ","Basic: Python untuk Pemula","Basic",454963.00
"Python ","Basic: Python untuk Pemula","Basic",454963.00
"CSS","Mendesain Web dengan CSS ","Basic",457323.00
"CSS","Mendesain Web dengan CSS ","Basic",457323.00
"Statistics","MySQL untuk Statistika dan Analisa Bisnis","Basic",458598.00
"Statistics","MySQL untuk Statistika dan Analisa Bisnis","Basic",458598.00
"React","Membangun Aplikasi dengan React ","Basic",487992.00
"React","Membangun Aplikasi dengan React ","Basic",487992.00
"SQL","Cara Termudah Mempelajari SQL ","Basic",509805.00
"SQL","Cara Termudah Mempelajari SQL ","Basic",509805.00
"Java","Dasar-dasar Bahasa Pemrograman Java Bagi Pemula","Basic",512460.00
"Java","Dasar-dasar Bahasa Pemrograman Java Bagi Pemula","Basic",512460.00
"Statistics","Fundamental Probability dan Statistics","Basic",517565.00
"Statistics","Fundamental Probability dan Statistics","Basic",517565.00
"Python ","Analisis dan Visualisasi data dengan Python","Basic",522584.00
"Python ","Analisis dan Visualisasi data dengan Python","Basic",522584.00
"Data Analysis","Analisis Data menggunakan Pandas","Basic",533810.00
"Data Analysis","Analisis Data menggunakan Pandas","Basic",533810.00
"PostgreSQL","Pemodelan Basis Data dengan PostgreSQL dan Golang","Basic",538005.00
"PostgreSQL","Pemodelan Basis Data dengan PostgreSQL dan Golang","Basic",538005.00
"React","Fundamental React Bagi Pemula","Basic",545153.00
"React","Fundamental React Bagi Pemula","Basic",545153.00
"Statistics","Statistika untuk Analisis Bisnis dan Sains Data","Basic",547352.00
"Statistics","Statistika untuk Analisis Bisnis dan Sains Data","Basic",547352.00
"R Programming Language","Statistika Dasar di Analisis Data menggunakan R","Basic",560115.00
"R Programming Language","Statistika Dasar di Analisis Data menggunakan R","Basic",560115.00
"SQL Server","Bangun Data Warehouse dengan SQL Server","Basic",595514.00
"SQL Server","Bangun Data Warehouse dengan SQL Server","Basic",595514.00
"Python ","Basic: Python untuk Pemula","Basic",599596.00
"Python ","Basic: Python untuk Pemula","Basic",599596.00
"SQL","Menganalisis Data menggunakan SQL di Google Big Query","Basic",600894.00
"SQL","Menganalisis Data menggunakan SQL di Google Big Query","Basic",600894.00
"JavaScript ","JavaScript untuk Pemula","Basic",611101.00
"JavaScript ","JavaScript untuk Pemula","Basic",611101.00
"Python ","Python untuk Sains Data","Basic",615773.00
"Python ","Python untuk Sains Data","Basic",615773.00
"MySQL","Mendesain Database dengan MySQL","Basic",618800.00
"MySQL","Mendesain Database dengan MySQL","Basic",618800.00
"Database Management","Fundamental Sistem Manajemen Database untuk Menjadi Analis Basis Data","Basic",629850.00
"Database Management","Fundamental Sistem Manajemen Database untuk Menjadi Analis Basis Data","Basic",629850.00
"Machine Learning","Dasar-dasar Machine Learning dan Data Science","Basic",645602.00
"Machine Learning","Dasar-dasar Machine Learning dan Data Science","Basic",645602.00
